Road,Slot,1TO2,BASELINE,DBSCAN,LIMITE,RANDOM,XMEANS,ERR_DBSCAN,ERR_XMEANS,ERR_1TO2,ERR_RAND,ERR_LIMITE
-8716807#3_0,2,0.16682695713779672,0.1668269571377967,0.16682695713779672,0.1668269571377967,0.16682695713779672,0.16682695713779672,True,True,True,True,True
-8716807#3_0,3,0.15291445270988316,0.15291445270988313,0.15291445270988316,0.15291445270988313,0.15291445270988316,0.15291445270988316,True,True,True,True,True
-8716807#3_0,5,0.4202284803400638,0.4202284803400638,0.42022848034006377,0.4202284803400638,0.42022848034006377,0.42022848034006377,True,True,True,True,True
-8716807#3_0,6,0.6386052072263549,0.638605207226355,0.0,0.0,0.6386052072263549,0.6386052072263549,False,True,True,True,False
-8716807#3_0,7,0.5369093163301453,0.5369093163301454,0.5369093163301453,0.5369093163301454,0.5369093163301453,0.5369093163301453,True,True,True,True,True
-8716807#4_0,1,0.639063990172965,0.639063990172965,0.6390639901729649,0.639063990172965,0.639063990172965,0.6390639901729649,True,True,True,True,True
-8716807#4_0,2,0.700987281314137,0.700987281314137,0.700987281314137,0.700987281314137,0.7009872813141372,0.7009872813141371,True,True,True,True,True
-8716807#4_0,3,0.7820181775014935,0.7771477564909551,0.7797543336614098,0.7771477564909551,0.7740811951139493,0.7810904782613909,True,True,True,True,True
-8716807#4_0,4,0.8433047565009955,0.8444983258050034,0.8361431285416726,0.801310398498478,0.8453649661494355,0.8388351266273484,True,True,True,True,True
-8716807#4_0,5,-4.517681387891309e-17,-8.131826498204355e-17,0.0,-8.131826498204355e-17,1.3553044163673926e-16,1.3553044163673926e-16,True,True,True,True,True
-8716807#5_0,1,0.620366915145293,0.6203669151452929,0.620366915145293,0.6203669151452929,0.620366915145293,0.620366915145293,True,True,True,True,True
-8716807#5_0,2,0.30471469565901993,0.277723971631571,0.45933257119995496,0.10417578002946033,0.28347763350891764,0.5046449315304691,False,False,True,True,False
-8716807#5_0,3,0.6449292505468017,0.6449292505468018,0.5872282729991519,0.6449292505468018,0.6449292505468017,0.657751690001835,True,True,True,True,True
-8716807#5_0,4,0.39478217203053173,0.39478217203053173,0.35654874028350797,0.39478217203053173,0.5553625853680312,0.2800818767894605,True,False,True,False,True
-8716807#5_0,6,0.19282371243269342,0.2822903182609472,0.3216935231888586,0.2822903182609472,0.304641610498594,0.366701549560988,True,True,True,True,True
-8716807#5_0,8,0.2330714636432619,0.31648588730675936,0.3231754675713073,0.31648588730675936,0.3237101181885363,0.31648588730675936,True,True,True,True,True
-8716807#5_0,10,0.1410936035352408,0.12597643172789355,0.15117171807347224,0.12597643172789355,0.11197905042479432,0.10078114538231477,True,True,True,True,True
-8716807#5_0,11,0.3838593045574254,0.3929964736865599,0.4099655020692382,0.3929964736865599,0.3692398339508102,0.4099655020692382,True,True,True,True,True
-8716807#5_0,12,0.4550656162121144,0.4550656162121145,0.4550656162121144,0.4550656162121145,0.43343490703130033,0.37163288080040296,True,True,True,True,True
-8716807#5_0,13,0.36116145159130475,0.36116145159130475,0.3611614515913047,0.36116145159130475,0.3611614515913047,0.3611614515913047,True,True,True,True,True
-8716807#5_0,14,0.6605262327660286,0.6649588114471007,0.7246197256744952,0.6014498058295761,0.6605262327660286,0.7401319466142928,True,True,True,True,True
-8716807#6_0,1,0.4457799078174242,0.44577990781742416,0.5286443280573803,0.44577990781742416,0.46084616604287076,0.4457799078174241,True,True,True,True,True
-8716807#6_0,2,0.5449865043502736,0.5449865043502736,0.5449865043502736,0.5449865043502736,0.5449865043502736,0.5449865043502736,True,True,True,True,True
-8716807#6_0,3,0.5044311973179595,0.5044311973179595,0.5044311973179595,0.5044311973179595,0.5044311973179595,0.5044311973179595,True,True,True,True,True
-8716807#6_0,4,0.3242134110530163,0.3142777439897865,0.2884450096253889,0.3142777439897865,0.3358050226267845,0.35733230126378257,True,True,True,True,True
-8716807#6_0,5,0.41496735409870666,0.41496735409870666,0.41496735409870666,0.41496735409870666,0.41496735409870666,0.41496735409870666,True,True,True,True,True
-8716807#6_0,6,0.34874065734118104,0.34874065734118115,0.34874065734118104,0.34874065734118115,0.34874065734118104,0.34874065734118104,True,True,True,True,True
-8716807#6_0,8,0.31513975662593674,0.20565912552210824,0.20565912552210813,0.20565912552210824,0.19349461095501608,0.16916558182083197,True,True,False,True,True
-8716807#6_0,9,0.24962679627851794,0.24962679627851792,0.24962679627851797,0.24962679627851792,0.249626796278518,0.249626796278518,True,True,True,True,True
-8716807#6_0,11,0.18544939903250662,0.1442384214697274,0.21635763220459103,0.1442384214697274,0.1081788161022956,0.216357632204591,True,True,True,True,True
-8716807#6_0,12,0.16133961287339213,0.1613396128733921,0.1613396128733921,0.1613396128733921,0.16133961287339213,0.1613396128733921,True,True,True,True,True
22959550#0_0,1,0.6073856629559113,0.5987767321682249,0.5254786425882961,0.5537935127713738,0.5832436663190933,0.5668637570299423,True,True,True,True,True
22959550#0_0,2,0.6327111612431502,0.658275422443404,0.6643791971371275,0.4284893643393114,0.5904551212066134,0.7457090877453925,True,True,True,True,False
22959550#0_0,3,0.5869181488601256,0.5940582363204717,0.6046321002586558,0.5940582363204717,0.5877916583240373,0.5860744829953377,True,True,True,True,True
22959550#0_0,4,0.5478194750340856,0.5478194750340856,0.5478194750340856,0.5478194750340856,0.5478194750340856,0.5478194750340856,True,True,True,True,True
22959550#0_0,5,0.2856628091663388,0.3715489640837885,0.38562037911026803,0.3715489640837885,0.3894815135277721,0.40043538593798184,True,True,True,True,True
22959550#0_0,6,0.4292711878950832,0.4292711878950832,0.4555409360906916,0.4292711878950832,0.43802777062695264,0.4555409360906916,True,True,True,True,True
22959550#0_0,7,0.45203112772547294,0.445750741302213,0.445750741302213,0.445750741302213,0.45935824521927615,0.4534616601885488,True,True,True,True,True
22959550#0_0,8,0.26669614050272994,0.28363509815699384,0.29084312996386447,0.28363509815699384,0.29666214533788776,0.36041827560233786,True,True,True,True,True
22959550#0_0,9,0.3677403800970061,0.3799449091345775,0.3947329669992067,0.3799449091345775,0.4065186922570866,0.40841282667353157,True,True,True,True,True
22959550#0_0,10,0.0,0.27312338510530776,0.2731233851053078,0.27312338510530776,0.2731233851053078,0.2731233851053078,True,True,False,True,True
22959550#0_0,11,0.24633786072246075,0.2824432939561225,0.3300439537389282,0.2824432939561225,0.2945485575702103,0.3309476818386747,True,True,True,True,True
22959550#0_0,12,0.15705834119924114,0.1798527883451084,0.17985278834510843,0.1798527883451084,0.16465649024786358,0.17985278834510846,True,True,True,True,True
22959550#0_0,13,0.0,0.1743847906715102,0.17438479067151022,0.1743847906715102,0.1743847906715102,0.17438479067151022,True,True,False,True,True
22959550#1_0,1,0.045782690810263475,0.11496716430517126,0.12266226041908614,0.11496716430517126,0.11826506263970618,0.11035010663682228,True,True,True,True,True
22959550#1_0,3,0.0,0.036978693751715586,0.0430648562162581,0.036978693751715586,0.054555148802039384,0.025856789914901587,True,True,True,True,True
22959550#1_0,4,0.1202933356205507,0.187831260426125,0.187831260426125,0.187831260426125,0.16353245032413372,0.1461761573941399,True,True,True,True,True
22959550#1_0,6,0.24204140872405222,0.26017141077348643,0.2767969008453519,0.26017141077348643,0.2747297126084844,0.24487020254277467,True,True,True,True,True
22959550#1_0,7,0.22024759127426585,0.2801117047110247,0.2801117047110248,0.2801117047110247,0.2801117047110248,0.2801117047110248,True,True,True,True,True
22959550#1_0,8,0.5061297424021499,0.5440457588107356,0.5440457588107355,0.5440457588107356,0.5440457588107355,0.5440457588107355,True,True,True,True,True
22959550#1_0,9,0.3335497392792187,0.3868224338534955,0.372969450888238,0.3868224338534955,0.3857395086067722,0.39205246471331734,True,True,True,True,True
22959550#1_0,10,0.5141350030019728,0.5514364296724876,0.5032347382646705,0.5514364296724876,0.5605411936050754,0.5321557531093608,True,True,True,True,True
22959550#1_0,11,0.5393979959317181,0.5741595751420066,0.5741595751420066,0.5741595751420066,0.5681852735604027,0.5641944432713222,True,True,True,True,True
22959550#1_0,12,0.6619490383724017,0.6887558333509302,0.7005378225279963,0.6887558333509302,0.6844469244251111,0.6927857667410424,True,True,True,True,True
22959550#3_0,1,0.5853205232934474,0.5774412217441672,0.5751722592359646,0.5774412217441672,0.5703844296142102,0.5813960952820929,True,True,True,True,True
