Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
11,1,2,,235.069,250.967,13.580205859004,1594164243.7840261,5.76922,1,6.309015,0.7403163202305002,Breakdown-flow,0,0.0,
12,1,11,,152.999,501.99,13.667974140372,1594164243.9267445,6.84881,1,6.350537692307692,0.7386072157930564,Breakdown-flow,0,0.0,
13,1,2,,235.069,250.967,13.680196957646,1594164243.9930632,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
14,1,11,,152.999,501.99,13.767978239014,1594164244.1398673,6.84881,1,6.345001333333333,0.7388350963847157,Breakdown-flow,0,0.0,
15,1,2,,235.069,250.967,13.780201056288,1594164244.2002184,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
16,1,11,,152.999,501.99,13.867982337656,1594164244.330083,6.84881,1,6.340767647058824,0.7390093580136314,Breakdown-flow,0,0.0,
17,1,2,,235.069,250.967,13.88020515493,1594164244.380946,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
18,1,11,,152.999,501.99,13.967973436298,1594164244.5247245,6.84881,1,6.337425263157895,0.739146932983828,Breakdown-flow,0,0.0,
19,1,2,,235.069,250.967,13.980196253572,1594164244.5983598,5.76922,1,6.3090150000000005,0.7403163202305,Breakdown-flow,0,0.0,
0,1,9,,201.499,255.428,15.027731418293,1594164246.799745,6.686,1,6.686,0.7247993414282774,Breakdown-flow,0,0.0,
1,1,5,,143.395,267.54,15.088311340584,1594164246.977981,6.03421,1,6.360105,0.7382134183988475,Breakdown-flow,0,0.0,
2,1,9,,201.499,255.428,15.127742678227,1594164247.0084805,6.686,1,6.4687366666666675,0.7337420594086574,Breakdown-flow,0,0.0,
3,1,5,,143.395,267.54,15.188309600518,1594164247.1804829,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
4,1,9,,201.499,255.428,15.227740938161,1594164247.2131815,6.686,1,6.425284,0.7355306030047335,Breakdown-flow,0,0.0,
5,1,5,,143.395,267.54,15.288320860452,1594164247.3795848,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
6,1,9,,201.499,255.428,15.327739198095,1594164247.411609,6.686,1,6.40666142857143,0.736297121688766,Breakdown-flow,0,0.0,
7,1,5,,143.395,267.54,15.388319120386,1594164247.5898848,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
8,1,9,,201.499,255.428,15.427737458029,1594164247.621552,6.686,1,6.396315555555557,0.7367229654021175,Breakdown-flow,0,0.0,
9,1,5,,143.395,267.54,15.48831738032,1594164247.8064,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
10,1,9,,201.499,255.428,15.527735717963,1594164247.8324127,6.686,1,6.389731818181819,0.7369939568560684,Breakdown-flow,0,0.0,
11,1,5,,143.395,267.54,15.588315640254,1594164248.0159907,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
12,1,9,,201.499,255.428,15.627733977897,1594164248.0455565,6.686,1,6.3851738461538465,0.7371815663241882,Breakdown-flow,0,0.0,
13,1,5,,143.395,267.54,15.688313900188,1594164248.2170837,6.03421,1,6.360105,0.7382134183988475,Breakdown-flow,0,0.0,
14,1,9,,201.499,255.428,15.727732237831,1594164248.2516308,6.686,1,6.381831333333334,0.7373191466008094,Breakdown-flow,0,0.0,
15,1,5,,143.395,267.54,15.788312160122,1594164248.4458156,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
16,1,9,,201.499,255.428,15.827730497765,1594164248.4790442,6.686,1,6.379275294117648,0.7374243550476375,Breakdown-flow,0,0.0,
17,1,5,,143.395,267.54,15.888310420056,1594164248.6555,6.03421,1,6.360105000000001,0.7382134183988475,Breakdown-flow,0,0.0,
18,1,9,,201.499,255.428,15.927741757699,1594164248.677914,6.686,1,6.377257368421054,0.7375074143477648,Breakdown-flow,0,0.0,
19,1,5,,143.395,267.54,15.98832167999,1594164248.8812764,6.03421,1,6.360105000000002,0.7382134183988475,Breakdown-flow,0,0.0,
0,1,8,,153.082,430.088,17.049775924495,1594164251.2540376,5.92847,1,5.92847,0.7559798312409961,Breakdown-flow,0,0.0,
1,1,11,,194.059,500.99,17.067982677034,1594164251.3142664,10.4748,1,8.201635,0.6624146943815601,Unstable-flow,0,0.0,
2,1,3,,285.767,439.607,17.074042129359,1594164251.341279,6.09786,1,7.500376666666667,0.6912790011662208,Unstable-flow,0,0.0,
3,1,8,,153.082,430.088,17.149772198548,1594164251.5103543,5.92847,1,7.1074,0.7074542086849147,Breakdown-flow,0,0.0,
