Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
2,20,11,23840887#4_0,392.61,498.245,32.467969930191,1594162024.5692914,15.6041,1,15.6041,0.3199257344833447,Reasonably Free-flow,12,0.0,23
3,20,11,23840887#4_0,392.61,498.245,32.767970061032,1594162026.509928,15.6041,1,15.6041,0.3199257344833447,Reasonably Free-flow,12,0.0,23
4,20,11,23840887#4_0,392.61,498.245,32.967978814926,1594162028.1035557,15.6041,1,15.6041,0.3199257344833447,Reasonably Free-flow,12,0.0,23
0,20,15,23840887#4_0,392.549,498.245,40.250198522544,1594162085.7499537,11.2514,1,11.2514,0.5096296748268664,Approaching unstable-flow,10,0.0,23
1,20,15,23840887#4_0,392.549,498.245,40.35019407935,1594162086.4753208,11.2514,1,11.2514,0.5096296748268664,Approaching unstable-flow,10,0.0,23
2,20,15,23840887#4_0,392.549,498.245,40.650193749768,1594162088.635372,11.2514,1,11.251399999999999,0.5096296748268664,Approaching unstable-flow,10,0.0,23
3,20,15,23840887#4_0,392.549,498.245,40.750202306574,1594162089.261265,11.2514,1,11.2514,0.5096296748268664,Approaching unstable-flow,10,0.0,23
4,20,15,23840887#4_0,392.549,498.245,40.950193420186,1594162090.868103,11.2514,1,11.2514,0.5096296748268664,Approaching unstable-flow,10,0.0,23
1,21,19,23840887#4_0,398.673,498.166,47.020357175989,1594162134.6087046,14.1398,1,14.1398,0.3837443941302349,Stable-flow,10,0.0,23
1,22,26,23840887#4_0,403.364,498.105,39.116639791511,1594162076.4316635,12.9302,1,12.9302,0.43646245102354797,Stable-flow,10,0.0,23
2,22,26,23840887#4_0,403.364,498.105,39.416639558595,1594162078.774465,12.9302,1,12.9302,0.43646245102354797,Stable-flow,10,0.0,23
3,22,26,23840887#4_0,403.364,498.105,39.516635147623,1594162079.5975056,12.9302,1,12.9302,0.43646245102354797,Stable-flow,10,0.0,23
4,22,26,23840887#4_0,403.364,498.105,39.616643736651,1594162080.4919786,12.9302,1,12.9302,0.43646245102354797,Stable-flow,10,0.0,23
0,22,15,23840887#4_0,402.497,498.117,41.250202911802,1594162093.5228493,8.91427,1,8.91427,0.6114889277262288,Unstable-flow,9,0.0,23
1,22,15,23840887#4_0,402.497,498.117,41.650193386842,1594162096.661626,8.91427,1,8.91427,0.6114889277262288,Unstable-flow,9,0.0,23
2,22,15,23840887#4_0,402.497,498.117,41.950195993122,1594162099.3410985,8.91427,1,8.91427,0.6114889277262288,Unstable-flow,9,0.0,23
1,23,11,23840887#4_0,406.239,498.068,33.667972039524,1594162033.432731,12.0718,1,12.0718,0.4738741408691332,Stable-flow,13,0.0,23
2,23,11,23840887#4_0,406.239,498.068,33.767976684381,1594162034.2353895,12.0718,1,12.0718,0.4738741408691332,Stable-flow,13,0.0,23
1,24,26,23840887#4_0,414.435,497.962,40.116634766232,1594162084.6329908,9.56359,1,9.56359,0.5831895819078045,Approaching unstable-flow,10,0.0,23
2,24,26,23840887#4_0,414.435,497.962,40.316638879844,1594162086.215765,9.56359,1,9.56359,0.5831895819078045,Approaching unstable-flow,10,0.0,23
0,24,26,23840887#4_0,414.435,497.962,40.91663822068,1594162090.4164333,9.56359,1,9.56359,0.5831895819078045,Approaching unstable-flow,10,0.0,23
1,24,15,23840887#4_0,410.281,498.016,42.750203051111,1594162105.7813497,6.91606,1,8.239825,0.640883297667871,Unstable-flow,12,0.0,23
0,24,19,23840887#4_0,410.905,498.008,48.520357463488,1594162144.706159,10.7639,1,10.7639,0.5308764115460216,Approaching unstable-flow,9,0.0,23
1,25,11,23840887#4_0,416.534,497.935,34.267975790217,1594162038.3612616,8.81858,1,8.81858,0.6156593897501383,Unstable-flow,13,0.0,23
2,25,11,23840887#4_0,416.534,497.935,34.467973871357,1594162039.9972708,8.81858,1,8.81858,0.6156593897501383,Unstable-flow,13,0.0,23
3,25,11,23840887#4_0,416.534,497.935,34.767970993067,1594162042.4680328,8.81858,1,8.81858,0.6156593897501383,Unstable-flow,11,0.0,23
0,25,15,23840887#4_0,416.516,497.935,43.150193549982,1594162108.7315593,6.22095,1,6.22095,0.7288720270912238,Breakdown-flow,12,0.0,23
1,25,15,23840887#4_0,416.516,497.935,43.250194425361,1594162109.5848894,6.22095,1,6.22095,0.7288720270912238,Breakdown-flow,12,0.0,23
2,25,15,23840887#4_0,416.516,497.935,43.550197051498,1594162112.6541352,6.22095,1,6.220949999999999,0.7288720270912238,Breakdown-flow,10,0.0,23
1,26,11,23840887#4_0,423.786,497.841,35.467978750721,1594162048.2989147,6.00863,1,6.00863,0.7381255801993489,Breakdown-flow,11,0.0,23
2,26,11,23840887#4_0,423.786,497.841,35.567978125964,1594162049.2367668,6.00863,1,6.00863,0.7381255801993489,Breakdown-flow,11,0.0,23
3,26,11,23840887#4_0,423.786,497.841,35.667977501207,1594162050.0188012,6.00863,1,6.00863,0.7381255801993489,Breakdown-flow,11,0.0,23
0,26,26,23840887#4_0,422.372,497.859,41.416631188969,1594162094.7480748,6.61974,1,6.61974,0.7114915427092096,Breakdown-flow,9,0.0,23
1,26,26,23840887#4_0,422.372,497.859,41.616632926489,1594162096.295846,6.61974,1,6.61974,0.7114915427092096,Breakdown-flow,9,0.0,23
