Cut,Slot,Id,Road,PosX,PosY,STime,Timer,Velo,QtdBcn,Media,Classe,Descricao,Clusteres,ClusterLOS,RoadTag
19,1,15,,151.206,502.719,19.050201498421,1594163183.7044888,6.57949,1,6.091270499999998,0.7492788433834123,Breakdown-flow,0,0.0,
20,1,5,,161.496,259.877,19.188310817799,1594163184.2605937,5.98229,1,6.08608095238095,0.7494924489655918,Breakdown-flow,0,0.0,
21,1,15,,151.206,502.719,19.250198273931,1594163184.5658135,6.57949,1,6.108508636363634,0.7485693090609741,Breakdown-flow,0,0.0,
0,1,5,,161.496,259.877,19.988310919839,1594163187.2462323,5.98229,1,5.98229,0.753764560609179,Breakdown-flow,0,0.0,
1,1,7,,153.268,428.165,20.672051892756,1594163189.6307173,6.66278,1,6.322535,0.7397598271249227,Breakdown-flow,0,0.0,
2,1,7,,153.268,428.165,20.77204550385,1594163190.0358174,6.66278,1,6.435950000000001,0.7350915826301707,Breakdown-flow,0,0.0,
0,1,11,,218.233,500.656,21.567972586835,1594163192.8089147,6.52399,1,6.52399,0.7314677917266927,Breakdown-flow,0,0.0,
1,1,6,,340.659,235.976,22.059729926168,1594163194.570994,4.30165,1,5.41282,0.777204363037662,Breakdown-flow,0,0.0,
2,1,6,,340.659,235.976,22.159737397994,1594163195.028754,4.30165,1,5.04243,0.7924498868079852,Breakdown-flow,0,0.0,
3,1,6,,340.659,235.976,22.25973186982,1594163195.3810573,4.30165,1,4.857235,0.8000726486931468,Breakdown-flow,0,0.0,
4,1,12,,143.393,267.463,22.279692738609,1594163195.4687212,6.16008,1,5.1178040000000005,0.7893474377443919,Breakdown-flow,0,0.0,
5,1,12,,143.393,267.463,22.479694682261,1594163196.2747352,6.16008,1,5.291516666666667,0.7821972971118886,Breakdown-flow,0,0.0,
6,1,6,,340.659,235.976,22.559728285298,1594163196.644156,4.30165,1,5.150107142857143,0.7880178167171374,Breakdown-flow,0,0.0,
7,1,6,,340.659,235.976,22.75973022895,1594163197.5380027,4.30165,1,5.04405,0.7923832064210744,Breakdown-flow,0,0.0,
8,1,12,,143.393,267.463,22.779691097739,1594163197.6735408,6.16008,1,5.168053333333334,0.787279138368663,Breakdown-flow,0,0.0,
9,1,16,,410.561,235.05,23.221085023967,1594163200.0008984,4.93267,1,5.144515,0.7882479934142829,Breakdown-flow,0,0.0,
10,1,16,,410.561,235.05,23.521081637788,1594163201.5339367,4.93267,1,5.125256363636364,0.7890406929970626,Breakdown-flow,0,0.0,
11,1,4,,152.962,429.74,23.605149958302,1594163202.027187,3.89262,1,5.022536666666667,0.7932687109830555,Breakdown-flow,0,0.0,
12,1,15,,191.966,501.019,23.750199680642,1594163202.800866,11.0751,1,5.488118461538463,0.7741050231924897,Breakdown-flow,0,0.0,
13,1,15,,191.966,501.019,23.850202885249,1594163203.3773112,11.0751,1,5.887188571428573,0.7576790050862905,Breakdown-flow,0,0.0,
14,1,4,,152.962,429.74,23.905146572123,1594163203.7270555,3.89262,1,5.754217333333334,0.7631521986691363,Breakdown-flow,0,0.0,
15,1,4,,154.176,425.973,24.005149763723,1594163204.2667024,4.12541,1,5.652416875000001,0.7673423801193662,Breakdown-flow,0,0.0,
16,1,1,,265.159,251.023,24.242471904377,1594163205.4648075,18.3834,1,6.401298235294119,0.7365178746534629,Breakdown-flow,0,0.0,
17,1,1,,265.159,251.023,24.342482958026,1594163205.9590855,18.3834,1,7.066970555555557,0.7091183142393268,Breakdown-flow,0,0.0,
18,1,4,,154.176,425.973,24.505153031968,1594163206.7107868,4.12541,1,6.912151578947369,0.7154907767463524,Breakdown-flow,0,0.0,
0,1,9,,261.966,247.821,25.027736455599,1594163209.4532564,1.42843,1,1.42843,0.9412047746449888,Breakdown-flow,0,0.0,
1,1,19,,149.949,508.512,25.120362710147,1594163209.9195979,3.14146,1,2.284945,0.9059499897098168,Breakdown-flow,0,0.0,
2,1,9,,261.966,247.821,25.327741674671,1594163210.9639628,1.42843,1,1.9994399999999999,0.9177015846882075,Breakdown-flow,0,0.0,
